id,title,description,link,condition,price,sale_price,availability,image_link,gtin,mpn,brand,google product category
6457,Jersey 1945 Yılı 1/12 Shilling ÇİL,,https://numismat.net/jersey-1945-yili-1-12-shilling-cil,Used,240 TRY,240 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/44.jpg,,,,
00167-020001-00050,Fransa 1960 Yılı 5 Frank ÇÇT,,https://numismat.net/fransa-1960-yili-5-frank-cct,Used,435 TRY,435 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/68.jpg,,,,
00170-020001-00053,İTALYA 1960 Yılı 500 Lira ÇÇT,,https://numismat.net/italya-1960-yili-500-lira-cct,Used,399.996,399.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/70.jpg,,,,
00168-020001-00051,Fransa 1960 Yılı 5 Frank ÇÇT (++),,https://numismat.net/fransa-1960-yili-5-frank-cct-artiarti,Used,459.996,459.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/72.jpg,,,,
00169-020001-00052,Fransa 1964 Yılı 5 Frank ÇÇT,,https://numismat.net/fransa-1964-yili-5-frank-cct,Used,435 TRY,435 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/76.jpg,,,,
6474,ABD 1951 Yılı 1/4 Dolar ÇÇT,,https://numismat.net/abd-1951-yili-1-4-dolar-cct,Used,245.004,245.004,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/78.jpg,,,,
6475,ABD 1952 Yılı 1/4 Dolar ÇT (+),,https://numismat.net/abd-1952-yili-1-4-dolar-ct-arti,Used,225.996,225.996,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/80.jpg,,,,
6476,ABD 1964 Yılı 1/4 Dolar ÇÇT,,https://numismat.net/abd-1964-yili-1-4-dolar-cct-1,Used,245.004,245.004,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/82.jpg,,,,
6477,ABD 1964 Yılı 1/4 Dolar ÇİLALTI,,https://numismat.net/abd-1964-yili-1-4-dolar-cilalti,Used,245.004,245.004,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/84.jpg,,,,
6478,ABD 1934 Yılı 1/4 Dolar TEMİZ,,https://numismat.net/abd-1934-yili-1-4-dolar-temiz,Used,231 TRY,231 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/86.jpg,,,,
