model,image,price,link,name_tr
00181-020003-00010,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/6.jpg,500.0000,https://numismat.net/abd-1944-yili-1-2-dolar-walking-liberty-cct,ABD 1944 Yılı 1/2 Dolar Walking Liberty ÇÇT
00182-020003-00011,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/7.jpg,125.0000,https://numismat.net/abd-1962-yili-10-cent-roosevelt-ci-l,ABD 1962 Yılı 10 Cent Roosevelt ÇİL
00183-020003-00012,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/8.jpg,125.0000,https://numismat.net/abd-1958-yili-10-cent-roosevelt-ci-l,ABD 1958 Yılı 10 Cent Roosevelt ÇİL
00184-020003-00013,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/9.jpg,125.0000,https://numismat.net/abd-1956-yili-10-cent-roosevelt-ci-l,ABD 1956 Yılı 10 Cent Roosevelt ÇİL (-)
00185-020003-00014,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/10.jpg,125.0000,https://numismat.net/abd-1951-yili-10-cent-roosevelt-cct,ABD 1951 Yılı 10 Cent Roosevelt ÇÇT
00186-020003-00015,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/11.jpg,125.0000,https://numismat.net/abd-1945-yili-10-cent-mercury-ct,ABD 1945 Yılı 10 Cent Mercury ÇT
00187-020003-00016,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/12.jpg,125.0000,https://numismat.net/abd-1945-yili-10-cent-mercury-ct-1,ABD 1945 Yılı 10 Cent Mercury ÇT -
00188-020003-00017,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/13.jpg,150.0000,https://numismat.net/abd-1944-yili-10-cent-mercury-ci-lalti,ABD 1944 Yılı 10 Cent Mercury ÇİLALTI
00189-020003-00018,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/14.jpg,125.0000,https://numismat.net/abd-1943-yili-10-cent-mercury-cct,ABD 1943 Yılı 10 Cent Mercury ÇÇT
00190-020003-00019,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/15.jpg,125.0000,https://numismat.net/abd-1943-yili-10-cent-mercury-cct-1,ABD 1943 Yılı 10 Cent Mercury ÇÇT
00191-020003-00020,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/16.jpg,125.0000,https://numismat.net/abd-1942-yili-10-cent-mercury-cct,ABD 1942 Yılı 10 Cent Mercury ÇÇT
00192-020003-00021,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/17.jpg,125.0000,https://numismat.net/abd-1942-yili-10-cent-mercury-cct-1,ABD 1942 Yılı 10 Cent Mercury ÇÇT (-)
00193-020003-00022,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/18.jpg,125.0000,https://numismat.net/abd-1941-yili-10-cent-mercury-cct,ABD 1941 Yılı 10 Cent Mercury ÇÇT
00194-020003-00023,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/19.jpg,125.0000,https://numismat.net/abd-1936-yili-10-cent-mercury-cct,ABD 1936 Yılı 10 Cent Mercury ÇÇT
00195-020001-00054,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/20.jpg,100.0000,https://numismat.net/hollanda-1938-yili-10-cent-ci-l,Hollanda 1938 Yılı 10 Cent  ÇİL
00196-020005-00001,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/21.jpg,175.0000,https://numismat.net/yeni-zelanda-1946-yili-3-pence-ci-l,Yeni Zelanda 1946 Yılı 3 Pence  ÇİL (+)
00197-020005-00002,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/22.jpg,150.0000,https://numismat.net/avustralya-1925-yili-6-pence-ct,Avustralya 1925 Yılı 6 Pence  ÇT
00198-020002-00004,https://numismat.net/image/catalog/image/catalog/products-2024/11prdct/23.jpg,175.0000,https://numismat.net/misir-1937-yili-2-kurus-ci-lalti,Mısır 1937 Yılı 2 Kuruş  ÇİLALTI
